Group,Variable name,Range,Type,Min,Max,Form,Short descriptor,AllowableCodes
Demo,NACCAPOE,"[1, 2, 3, 4, 5, 6]",category (int),1.0,6.0,gen,APOE genotype," 1 = e3,e3 
2 = e3,e4 
3 = e3,e2 
4 = e4,e4 
5 = e4,e2 
6 = e2,e2 
9 = Missing/ unknown/ not assessed"
Demo,NACCNE4S,"[0, 1, 2]",category (int),0.0,2.0,gen,Number of APOE e4 alleles," 0 = No e4 allele 
1 = 1 copy of e4 allele 
2 = 2 copies of e4 allele 
9 = Missing/ unknown/ not assessed"
Func,BILLS,"[0, 1, 2, 3]",category (int),0.0,3.0,b7,"In the past four weeks, did the subject have any difficulty or need help with: Writing checks, paying bills, or balancing a checkbook"," 0 = Normal
1 = Has difficulty, but does by self
2 = Requires assistance
3 = Dependent
8 = Not applicable (e.g., never did)
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Func,TAXES,"[0, 1, 2, 3]",category (int),0.0,3.0,b7,"In the past four weeks, did the subject have any difficulty or need help with: Assembling tax records, business affairs, or other papers"," 0 = Normal
1 = Has difficulty, but does by self
2 = Requires assistance
3 = Dependent
8 = Not applicable (e.g., never did)
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question."
Func,SHOPPING,"[0, 1, 2, 3]",category (int),0.0,3.0,b7,"In the past four weeks, did the subject have any difficulty or need help with: Shopping alone for clothes, household necessities, or groceries"," 0 = Normal
1 = Has difficulty, but does by self
2 = Requires assistance
3 = Dependent
8 = Not applicable (e.g., never did)
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Func,GAMES,"[0, 1, 2, 3]",category (int),0.0,3.0,b7,"In the past four weeks, did the subject have any difficulty or need help with: Playing a game of skill such as bridge or chess, working on a hobby"," 0 = Normal
1 = Has difficulty, but does by self
2 = Requires assistance
3 = Dependent
8 = Not applicable (e.g., never did)
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Func,STOVE,"[0, 1, 2, 3]",category (int),0.0,3.0,b7,"In the past four weeks, did the subject have any difficulty or need help with: Heating water, making a cup of coffee, turning off the stove"," 0 = Normal
1 = Has difficulty, but does by self
2 = Requires assistance
3 = Dependent
8 = Not applicable (e.g., never did)
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Func,MEALPREP,"[0, 1, 2, 3]",category (int),0.0,3.0,b7,"In the past four weeks, did the subject have any difficulty or need help with: Preparing a balanced meal"," 0 = Normal
1 = Has difficulty, but does by self
2 = Requires assistance
3 = Dependent
8 = Not applicable (e.g., never did)
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Func,EVENTS,"[0, 1, 2, 3]",category (int),0.0,3.0,b7,"In the past four weeks, did the subject have any difficulty or need help with: Keeping track of current events"," 0 = Normal
1 = Has difficulty, but does by self
2 = Requires assistance
3 = Dependent
8 = Not applicable (e.g., never did)
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Func,PAYATTN,"[0, 1, 2, 3]",category (int),0.0,3.0,b7,"In the past four weeks, did the subject have any difficulty or need help with: Paying attention to and understanding a TV program, book, or magazine"," 0 = Normal
1 = Has difficulty, but does by self
2 = Requires assistance
3 = Dependent
8 = Not applicable (e.g., never did)
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Func,REMDATES,"[0, 1, 2, 3]",category (int),0.0,3.0,b7,"In the past four weeks, did the subject have any difficulty or need help with: Remembering appointments, family occasions, holidays, medications"," 0 = Normal
1 = Has difficulty, but does by self
2 = Requires assistance
3 = Dependent
8 = Not applicable (e.g., never did)
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Func,TRAVEL,"[0, 1, 2, 3]",category (int),0.0,3.0,b7,"In the past four weeks, did the subject have any difficulty or need help with: Traveling out of the neighborhood, driving, or arranging to take public transportation"," 0 = Normal
1 = Has difficulty, but does by self
2 = Requires assistance
3 = Dependent
8 = Not applicable (e.g., never did)
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
MedH,NACCFAM,"[0, 1]",category (int),0.0,1.0,a3,Indicator of first-degree family member with cognitive impairment," 0 = No report of a first-degree family member with cognitive impairment
1 = Report of at least one first-degree family member with cognitive impairment
9 = Unknown
-4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes re-sponse to this question"
MedH,SMOKYRS,0~80,continuous (int),0.0,80.0,a5,Total years smoked cigarettes," 0 - 87
88 = Not applicable
99 = Unknown 
- 4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
MedH,PACKSPER,"[0, 1, 2, 3, 4, 5]",category (int),0.0,5.0,a5,Average number of packs smoked per day," 0 = No reported cigarette use
1 = 1 cigarette to less than 1/2 pack 
2 = 1/2 pack to less than 1 pack 
3 = 1 pack to 11/2  packs 
4 = 11/2  packs to 2 packs 
5 = More than two packs
8 = Not applicable
9 = Unknown
- 4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
MedH,CVHATT,"[0, 1, 2]",category (int),0.0,2.0,a5,Heart attack/cardiac arrest," 0 = Absent
1 = Recent/Active
2 = Remote/Inactive
9 = Unknown
- 4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
MedH,CBSTROKE,"[0, 1, 2]",category (int),0.0,2.0,a5,Stroke," 0 = Absent
1 = Recent/Active
2 = Remote/Inactive
9 = Unknown
- 4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
MedH,HYPERTEN,"[0, 1, 2]",category (int),0.0,2.0,a5,Hypertension," 0 = Absent	
1 = Recent/Active
2 = Remote/Inactive
9 = Unknown
- 4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
MedH,ALCOHOL,"[0, 1, 2]",category (int),0.0,2.0,a5,"Alcohol abuse - clinically significant impairment occurring over a 12-month period manifested in one of the following areas: work, driving, legal, or social"," 0 = Absent
1 = Recent/Active
2 = Remote/Inactive
9 = Unknown
- 4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
MedH,DEPOTHR,"[0, 1]",category (int),0.0,1.0,a5,"Depression episodes more than two 
years ago"," 0 = No
1 = Yes
9 = Unknown
- 4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
MedH,PSYCDIS,"[0, 1, 2]",category (int),0.0,2.0,a5,Other psychiatric disorder," 0 = Absent
1 = Recent/Active
2 = Remote/Inactive
9 = Unknown
- 4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Info,NACCADC,354~9661,continuous (int),354.0,9661.0,header,ADC at which subject was seen, 100 -9999
Info,MRIFIELD,"[1, 2, 5]",category (int),1.0,5.0,imaging,Magnetic field strength (T)," 1 = 1.5
2 = 3.0
5 = Other
7 = Field strength varies across images
8 = Not applicable / no MRI available
9 = Missing / unknown"
Info,MRIMANU,"[1, 2, 3]",category (int),1.0,3.0,imaging,Manufacturer," 1 = GE
2 = Siemens
3 = Phillips
5 = Other
8 = Not applicable / no MRI available
9 = Missing / unknown"
Info,MRIMODL,1~16,continuous (int),1.0,16.0,imaging,Manufacturer’s model name ," 1 = DISCOVERY MR 750
2 = GENESIS SIGNA
3 = SIGNA HDxt
4 = Trio Tim
5 = Eclipse 1.5T
6 = Allegra
7 = SIGNA EXCITE
8 = SIGNA
9 = GEMINI
10 = Ingenuity
11 = Sonata
12 = Skyra
13 = Signa HDx
14 = Achieva
15 = Prisma
16 = Verio
88 = Not applicable / no MRI available
99 = Missing / unknown"
Info,Label,"['AD', 'MCI', 'NC']",category (str),-999.0,-999.0,,,
Info,NACCID,225~999854,continuous (int),225.0,999854.0,,,
